atleta_id,apelido,posicao_id,clube_id,entrou_em_campo,rodada_id,CA,DS,FC,FF,FD,FS,I,SG,A,G,DE,GS,V,PS,FT,PP,DP,CV,PC,GC,pontuacao
105911,Rômulo,4,285,True,1,,,,,,,,,,,,,,,,,,,,,0.0
106002,Johnny,4,285,True,1,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,4.1
106160,Lucão,1,280,True,1,1.0,,,,,,,,,,4.0,1.0,,,,,,,,,2.0
106199,Gabriel Pec,5,267,True,1,1.0,2.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,16.9
106201,Figueiredo,4,267,True,1,,,,,,,,,,,,,,,,,,,,,0.0
106202,Bruno Gomes,4,294,True,1,,4.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,7.5
106299,Realpe,3,280,True,1,,,2.0,,,,,,,,,,,,,,,,,,-0.6
106323,Caio Alexandre,4,356,True,1,,2.0,2.0,,,2.0,,,,,,,,,,,,,,,2.8
106434,Eduardo Santos,3,280,True,1,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,1.1
106822,Rodrigo Nestor,4,276,True,1,,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,6.1
107110,Natan,3,280,True,1,,3.0,,,,1.0,,,,,,,,,,,,,,,4.1
107111,Richard Ríos,4,275,True,1,,2.0,,1.0,,,,,,,,,,,,,,,,,3.2
107173,Michel Araújo,4,276,True,1,,1.0,,1.0,1.0,4.0,,,,,,,,,,,,,,,5.2
107197,Rômulo,5,293,True,1,,1.0,1.0,,,,,,,,,,,,,,,,,,0.9
107236,Vanderlan,2,275,True,1,,2.0,3.0,,,1.0,,,1.0,,,,,,,,,,,,7.0
107498,André,4,266,True,1,,3.0,1.0,1.0,,6.0,,,,,,,,,,,,,,,7.1
107554,Natanael,2,294,True,1,,2.0,1.0,,,2.0,,,,,,,,,,,,,,,3.1
107676,Nathan,2,277,True,1,,7.0,,,,,,,,,,,,,,,,,,,8.4
107726,Chrystian Barletta,4,264,True,1,,3.0,1.0,,,,,,,,,,,,,,,,,,3.3
107748,Adriel,1,284,True,1,,,,,,,,1.0,,,4.0,,,,,,,,,,9.0
107796,Diego Rosa,4,265,True,1,,,,,,,,,,,,,,,,,,,,,0.0
107950,Fausto Vera,4,264,True,1,1.0,1.0,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,,6.6
108133,Isidro Pitta,5,1371,True,1,,,,,,1.0,,,,,,,,,,,,,,,0.5
108528,Galarza,4,267,True,1,,,,,,,,,,,,,,,,,,,,,0.0
109404,Thiago Andrade,5,293,True,1,,2.0,,,,,,,,,,,,,,,,,,,2.4
109461,Calebe,4,356,True,1,,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,4.7
109497,Marcos Leonardo,5,277,True,1,,,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,2.6
109591,Andrey Santos,4,267,True,1,1.0,4.0,,,,,,,,1.0,,,,,,,,,,,11.8
110021,Jhoanner Chávez,2,265,True,1,,2.0,2.0,,,2.0,2.0,,,,,,,,,,,,,,2.6
110055,Matías Segovia,4,263,True,1,,1.0,,,,,,,,,,,,,,,,,,,1.2
110415,Ângelo,5,277,True,1,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,1.0
110506,Abel Ferreira,6,275,True,1,,,,,,,,,,,,,1.0,,,,,,,,6.25
110607,Gabriel Pirani,4,266,True,1,,2.0,,,1.0,4.0,,,,,,,,,,,,,,,5.6
110727,Rubens,2,282,True,1,,4.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,6.4
110759,John Kennedy,5,266,True,1,1.0,1.0,2.0,,2.0,4.0,1.0,,,1.0,,,,1.0,,,,,,,12.9
110818,Renato Paiva,6,265,True,1,,,,,,,,,,,,,,,,,,,,,4.76
111682,Adson,4,264,True,1,,,1.0,,,,,,,,,,,,,,,,,,-0.3
111760,Fabinho,4,275,True,1,,,,1.0,,,,,,,,,,,,,,,,,0.8
111766,Rodrigo,4,267,True,1,1.0,4.0,,,,1.0,,,,,,,,,,,,,,,4.3
111769,Marlon Gomes,4,267,True,1,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,1.4
111771,Arthur Sales,5,265,True,1,,,,1.0,,,,,,,,,,,,,,,,,0.8
111819,Thomas Luciano,2,284,True,1,,2.0,3.0,,,1.0,,1.0,,,,,,,,,,,,,7.0
111829,Kayky,5,265,True,1,,,,,,,,,,,,,,,,,,,,,0.0
111879,Mateusinho,2,1371,True,1,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,-0.8
111949,Quagliata,5,1371,True,1,,1.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,3.0
112140,Bitello,4,284,True,1,,5.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,8.4
112141,Paulo Victor,2,267,True,1,,,1.0,,,,,,,,,,,,,,,,,,-0.3
112370,Emerson Ramon,5,1371,True,1,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,4.2
112886,Lucas Barbosa,4,277,True,1,,4.0,1.0,,1.0,,,,,,,,,,,,,,,,5.7
113103,Flaco López,5,275,True,1,1.0,1.0,3.0,,2.0,,,,,1.0,,,,,,,,,,,9.7
113359,Pablo Maia,4,276,True,1,,1.0,,,,,,,,,,,,,,,,,,,1.2
113558,Bruninho,4,280,True,1,,2.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,12.9
113687,Du Queiroz,4,264,True,1,,,1.0,,,,,,,,,,,,,,,,,,-0.3
114802,Vitor Roque,5,293,True,1,,,1.0,1.0,,3.0,,,,,,,,,,,,,,,2.0
115025,Miguelito,4,277,True,1,,,,,,1.0,,,,,,,,,,,,,,,0.5
115100,Matheus França,4,262,True,1,,,1.0,3.0,,,,,,,,,,,1.0,,,,,,5.1
115239,Wesley,2,262,True,1,,,2.0,,,3.0,,1.0,,,,,,,,,,,,,5.9
115248,Jhon Jhon,4,275,False,1,1.0,,,,,,,,,,,,,,,,,,,,-1.0
115915,Lelê,5,266,True,1,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,14.2
115959,Endrick,5,275,True,1,,,6.0,1.0,,1.0,,,,1.0,,,,,,,,,,,7.5
115998,Adyson,5,327,True,1,,1.0,1.0,,,,,,,,,,,,,,,,,,0.9
116013,Igor Jesus,4,262,True,1,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,1.9
116034,Victor Hugo,4,262,True,1,,,,,,1.0,,,1.0,,,,,,,,,,,,5.5
116447,Hércules,4,356,True,1,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.7
116461,Jamerson,2,294,True,1,,5.0,,,,,,,,,,,,,,,,,,,6.0
116672,Daniel Ruiz,4,277,True,1,,,,,,1.0,,,,,,,,,,,,,,,0.5
117711,Pedro Caixinha,6,280,True,1,,,,,,,,,,,,,1.0,,,,,,,,6.65
118774,Alexsander,2,266,True,1,,,,,,1.0,,1.0,,,,,,,,,,,,,5.5
118844,Kaio César,5,294,True,1,,1.0,2.0,,,2.0,1.0,,,,,,,,,,,,,,1.5
121593,Ivo Vieira,6,1371,True,1,,,,,,,,,,,,,,,,,,,,,4.21
121792,André,5,284,True,1,,,1.0,,,,,,,,,,,,,,,,,,-0.3
122393,Talisson,5,280,True,1,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,3.8
122420,Lucca,5,285,True,1,,,,,,1.0,,,,,,,,,,,,,,,0.5
122485,Barros,4,267,True,1,,,,,,,,,,,,,,,,,,,,,0.0
123153,Zinho,5,284,True,1,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,4.4
123360,Cauly,4,265,True,1,,,,1.0,1.0,,,,,,,,,,,,,,,,2.0
123713,Luis Guilherme,4,275,True,1,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,1.6
123907,Pepa,6,283,True,1,,,,,,,,,,,,,,,,,,,,,3.66
124239,Henry Mosquera,5,280,True,1,,2.0,3.0,,,1.0,,,,,,,,,1.0,,,,,,5.0
124247,Isaac,5,282,True,1,,,1.0,,,,,,,,,,,,,,,,,,-0.3
124340,Allyson,3,1371,True,1,,1.0,,,,2.0,,,,,,,,,,,,,,,2.2
37281,Mano Menezes,6,285,True,1,,,,,,,,,,,,,,,,,,,,,4.55
37656,Fábio,1,266,True,1,,,,,,,,1.0,,,2.0,,,,,,,,,,7.0
37865,Bruno Mezenga,5,277,True,1,,1.0,,,,,,,,,,,,,,,,,,,1.2
38144,Rafinha,2,276,True,1,,2.0,,,,2.0,,,,,,,,,,,,,,,3.4
38229,Fábio Santos,2,264,True,1,,,,,,,,,,,,,,,,,,,,,0.0
38279,Wellington Paulista,5,327,True,1,,,1.0,4.0,,,,,,,,,,,,,,,,,2.9
38394,Thiago Heleno,3,293,True,1,,,2.0,,,,,1.0,,,,,,,,,,,,,4.4
38877,Mariano,2,282,True,1,,2.0,,,,,,,,,,,,,,,,,,,2.4
39148,Hulk,5,282,True,1,1.0,,2.0,3.0,3.0,5.0,,,,,,,,,,,,,,,6.9
39850,Vagner Mancini,6,327,True,1,,,,,,,,,,,,,,,,,,,,,2.7
40990,Dorival Júnior,6,276,True,1,,,,,,,,,,,,,,,,,,,,,4.57
41929,Renato Gaúcho,6,284,True,1,,,,,,,,,,,,,1.0,,,,,,,,8.280000000000001
42234,Cássio,1,264,True,1,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,0.5
42411,Cuca,6,264,True,1,,,,,,,,,,,,,1.0,,,,,,,,5.72
42500,Fagner,2,264,True,1,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,3.5
44683,Leomir,6,294,True,1,,,,,,,,,,,,,,,,,,,,,3.34
50317,David Braz,3,266,True,1,,,,,,,,1.0,,,,,,,,,,,,,5.0
50353,Titi,3,356,True,1,,1.0,1.0,,,,,,,,,,,,,,,,,,0.9
50456,Emerson Ávila,6,290,True,1,,,,,,,,,,,,,,,,,,,,,1.57
51413,Walter,1,1371,True,1,,,,,,,,,,,4.0,2.0,,,,,,,,,2.0
51548,Giuliano,4,264,True,1,,1.0,1.0,,,,,,,,,,,,,,,,,,0.9
51772,Everton Ribeiro,4,262,True,1,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,1.8
60793,Alex Teixeira,4,267,True,1,,,2.0,,,2.0,,,,,,,,,,,,,,,0.4
60825,Felipe Azevedo,5,327,True,1,,1.0,3.0,,,1.0,,,,,,,,,,,,,,,0.8
61188,Gilberto,5,283,True,1,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,0.6
62977,Ganso,4,266,True,1,,1.0,,,,,,,1.0,,,,,,,,,,,,6.2
63013,Marcos Rocha,2,275,True,1,,4.0,2.0,,,1.0,,,,,,,,,,,,,,,4.7
63289,Edenílson,4,282,True,1,,,,,,,,,,,,,,,,,,,,,0.0
63354,Rodrigo Moledo,3,285,True,1,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,1.1
68685,Alan Patrick,4,285,True,1,,,1.0,,1.0,4.0,,,1.0,,,,,,,,,,,,7.9
68708,Eduardo,4,263,True,1,1.0,,3.0,1.0,,4.0,,,1.0,1.0,,,,,,,,,,,13.9
68770,Camacho,4,277,True,1,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,-0.7
68773,Henrique Almeida,5,327,True,1,,,2.0,1.0,,,,,,,,,,,1.0,,,,,,3.2
68917,Vinicius,5,290,True,1,,1.0,2.0,4.0,1.0,1.0,,,,,,,,,,,,,,,5.5
68920,Dudu,5,275,True,1,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,8.5
68923,Gil,3,264,True,1,,,,1.0,1.0,,,,,,,,,,,,,,,,2.0
68928,Rafael,1,276,True,1,,,,,,,,,,,1.0,2.0,,,,,,,,,-1.0
68940,Rafael Cabral,1,283,True,1,,,,,,,,,,,5.0,2.0,,,,,,,,,3.0
68942,Luciano Castán,3,283,True,1,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,1.4
68952,Marinho,5,262,True,1,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,-0.1
68991,Lucas Sasha,4,356,True,1,,5.0,5.0,,,,1.0,,,,,,,,,,,,,,4.4
69012,Santos,1,262,True,1,,,,,,1.0,,1.0,,,3.0,,,,,,,,,,8.5
69138,Pablo,5,293,True,1,1.0,1.0,3.0,1.0,,5.0,1.0,,2.0,,,,,,,,,,,,12.5
69189,Sidimar,3,290,True,1,1.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,0.9
69318,Luis Suárez,5,284,True,1,,,,2.0,2.0,3.0,,,,,,,,,,1.0,,,,,1.5
69705,Nikão,4,283,True,1,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,-0.8
70171,Rafael,2,263,True,1,,1.0,2.0,,,,,,,,,,,,,,,,,,0.6
70360,Eduardo Sasha,5,280,True,1,,1.0,,,,,,,,1.0,,,,,,,,,,,9.2
70449,Gabriel,1,294,True,1,,,,,,,,,,,4.0,3.0,,,,,,,,,1.0
70666,Marllon,3,1371,True,1,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,2.2
70800,Jorge Sampaoli,6,262,True,1,,,,,,,,,,,,,1.0,,,,,,,,9.52
70916,Diogo Barbosa,2,284,True,1,,4.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,10.8
70986,Léo Cittadini,4,293,True,1,,,2.0,,,2.0,,,,,,,,,,,,,,,0.4
71162,Vina,4,284,True,1,1.0,,,,,2.0,,,,,,,,,,,,,,,0.0
71571,Fernando Miguel,1,356,True,1,,,,,,,,,,,5.0,1.0,,,,,,,,,4.0
71631,Weverton,1,275,True,1,,,,,,,,,,,3.0,1.0,,,,,,,,,2.0
71684,Gustavo Gómez,3,275,True,1,,1.0,,,,,,,,,,,,,,,,,,,1.2
71829,Júnior Urso,4,294,True,1,1.0,2.0,1.0,,1.0,3.0,,,,,,,,,,,,,,,3.8
71844,Thiago Galhardo,5,356,True,1,,,,,,,,,,,,,,,,,,,,,0.0
72294,Everson,1,282,True,1,,,,,,,,,,,1.0,2.0,,,,,,,,,-1.0
72391,Fernando Diniz,6,266,True,1,,,,,,,,,,,,,1.0,,,,,,,,10.39
72497,Gustavo Campanharo,4,285,True,1,,,,,,,,,,,,,,,,,,,,,0.0
72532,Maguinho,2,290,True,1,,,1.0,,,2.0,,,,,,,,,,,,,,,0.7
72580,Matheus Cavichioli,1,327,True,1,,,,,,,,,,,4.0,3.0,,,,,1.0,,,,8.0
72583,Pedro Henrique,5,285,True,1,,,,,,,2.0,,,,,,,,,,,,,,-0.2
72762,Ceppelini,4,1371,True,1,,1.0,,,1.0,,,,,,,,,,,,,,,,2.4
73318,Daniel Borges,2,263,True,1,,4.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,5.9
73384,Samuel Xavier,2,266,True,1,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,10.2
73479,Jean Dias,5,285,True,1,,,2.0,,,2.0,,,,,,,,,,,,,,,0.4
73620,Bruno Alves,3,284,True,1,,,1.0,,,,,1.0,,,,,,,,,,,,,4.7
73781,Guilherme Marques,5,290,True,1,,,,,,,,,,,,,,,,,,,,,0.0
77809,William Pottker,5,294,True,1,1.0,2.0,1.0,,,2.0,,,,,,,,,,,,,,,2.1
78077,Madson,2,293,True,1,,,,,,1.0,,1.0,,,,,,,,,,,,,5.5
78117,Everaldo,5,265,True,1,,1.0,3.0,1.0,,3.0,,,,1.0,,,,,,,,,,,10.6
78445,Renê,2,285,True,1,,5.0,2.0,,,1.0,,,,,,,,,,,,,,,5.9
78580,Jonathan Cafu,5,1371,True,1,1.0,1.0,3.0,1.0,,2.0,,,1.0,,,,,,,,,,,,6.1
78715,Ramiro,4,283,True,1,,1.0,1.0,,,,,,,,,,,,,,,,,,0.9
78855,Thiago Santos,4,266,True,1,,,1.0,,,1.0,,,,,,,,,,,,,,,0.2
79113,Víctor Cuesta,3,263,True,1,1.0,1.0,2.0,,,,,,1.0,,,,,,,,,,,,4.6
79188,Silvio Romero,5,356,True,1,,,,,,,,,,,,,,,,,,,,,0.0
79268,Filipe Augusto,4,1371,True,1,,2.0,2.0,,,3.0,,,,,,,,,,,,1.0,,,0.3
79334,Ricardo Silva,3,327,True,1,,,,,,,,,,,,,,,,,,,,,0.0
79631,Cano,5,266,True,1,,1.0,,1.0,,,2.0,,,1.0,,,,,1.0,1.0,,,,,8.8
80076,Zé Roberto,5,294,True,1,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,-0.3
80196,Yago Pikachu,4,356,True,1,,,,1.0,,,,,,,,,,,,,,,,,0.8
80287,Luciano,5,276,True,1,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,5.2
80583,Lucas Lima,4,277,True,1,,,2.0,1.0,,2.0,,,,,,,,,,,,,,,1.2
81091,Jair,4,267,True,1,,2.0,,,,6.0,,,,,,,,,,,,,,,5.4
81845,Alisson,4,276,True,1,,,,,,,1.0,,,,,,,,,,,,,,-0.1
81952,Willian Oliveira,4,290,True,1,,,2.0,,,1.0,,,,,,,,,,,,,,,-0.1
82381,Juninho,4,327,True,1,,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,2.7
82453,Tadeu,1,290,True,1,,,,,,,,,,,2.0,2.0,,,,,,,,,0.0
82455,Zé Rafael,4,275,True,1,,4.0,4.0,,1.0,2.0,,,,,,,,,,,,,,,5.8
82463,Otávio,4,282,True,1,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,1.9
82628,Tinga,2,356,True,1,,3.0,2.0,,,1.0,,,,,,,,,,,,,,,3.5
82747,Paulo Turra,6,293,True,1,,,,,,,,,,,,,1.0,,,,,,,,7.57
82766,Wellington Rato,4,276,True,1,,2.0,2.0,,,3.0,,,,,,,,,,,,,,,3.3
82792,Maurício Barbieri,6,267,True,1,,,,,,,,,,,,,1.0,,,,,,,,6.05
83257,Gabriel,5,262,True,1,1.0,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,7.1
83433,Patrick,4,282,True,1,,2.0,,,,,,,,,,,,,,,,,,,2.4
83528,Léo Pereira,3,262,True,1,,5.0,,,,3.0,,1.0,,,,,,,,,,,,,12.5
84042,Tiquinho Soares,5,263,True,1,,2.0,,1.0,,,,,,1.0,,,,,,,,,,,11.2
84263,Jemerson,3,282,True,1,,1.0,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,7.0
84339,Bruno Melo,3,290,True,1,1.0,,1.0,2.0,,2.0,,,,,,,,,,,,,,,1.3
84428,Fernando Sobral,4,1371,True,1,,2.0,2.0,,,2.0,,,,,,,,,,,,,,,2.8
84674,Lucas Evangelista,4,280,True,1,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,1.4
84817,Robson,5,294,True,1,,,2.0,,,2.0,,,,,,,,,,,,,,,0.4
85004,Marcos Felipe,1,265,True,1,,,,,,,,,,,5.0,2.0,,,,,,,,,3.0
85315,Cantillo,4,264,True,1,,6.0,,,1.0,1.0,,,,,,,,,,,,,,,8.9
85425,João Paulo,1,277,True,1,,,,,,,,,,,5.0,1.0,,,,,,,,,4.0
85626,Léo,3,267,True,1,,,3.0,,,,,,,,,,,,,,,,,,-0.9
85931,Hyoran,4,282,True,1,,,3.0,1.0,,,,,,,,,,,,,,,,,-0.1
85993,Gustavo Sauer,5,263,True,1,,,2.0,,,,1.0,,,,,,,,,,,,,,-0.7
86388,Alê,4,327,True,1,,1.0,2.0,2.0,,1.0,,,,,,,,,,,,,,,2.7
86391,Sander,2,290,True,1,,1.0,,,,3.0,1.0,,,,,,,,,,,,,,2.6
86410,Victor Luis,2,294,True,1,,1.0,,,,1.0,,,,,,,,,,,,,,,1.7
86485,Keno,5,266,True,1,,,1.0,,,,,,,,,,,,,,,,,,-0.3
86686,Tchê Tchê,4,263,True,1,,3.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,4.6
86711,Richard Coelho,4,283,True,1,,5.0,1.0,,,3.0,2.0,,,,,,,,,,,,,,7.0
86757,Everton,5,262,True,1,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,2.1
86777,Danilo Barbosa,4,263,True,1,,2.0,3.0,1.0,,1.0,,,,,,,,,,,,,,,2.8
86799,Rodrigo Pinho,5,294,True,1,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.7
86864,Marlon,2,327,True,1,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,1.1
86970,Eduardo Bauermann,3,277,True,1,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,2.5
87008,Léo Jardim,1,267,True,1,,,,,,,,,,,10.0,1.0,,,,,,,,,9.0
87009,Nathan,4,284,True,1,,,1.0,1.0,,,,,,,,,,,,,,,,,0.5
87098,Matheus Peixoto,5,290,True,1,,1.0,2.0,,,3.0,,,,,,,,,,,,,,,2.1
87225,Pedro Henrique,3,293,True,1,1.0,,2.0,,,,,1.0,,1.0,,,,,,,,,,,11.4
87242,Carlos de Pena,4,285,True,1,,,,1.0,,,,,,,,,,,,,,,,,0.8
87258,Soteldo,5,277,True,1,,1.0,1.0,1.0,1.0,5.0,,,,,,,,,,,,1.0,,,2.4
87342,Kannemann,3,284,True,1,1.0,3.0,3.0,,,2.0,,1.0,,,,,,,,,,,,,7.7
87402,Messias,3,277,True,1,,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,2.4
87470,Thaciano,4,265,True,1,,3.0,1.0,,,3.0,,,1.0,,,,,,,,,,,,9.8
87552,Vitor Bueno,4,293,True,1,,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,3.9
87747,Yago Felipe,4,265,True,1,,2.0,2.0,,,1.0,,,,,,,,,,,,,,,2.3
87853,Mauricio Lemos,3,282,True,1,1.0,4.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,13.2
88037,Luís Castro,6,263,True,1,,,,,,,,,,,,,1.0,,,,,,,,6.12
88393,Ayrton Lucas,2,262,True,1,,1.0,3.0,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,15.0
88423,Aderlan,2,280,True,1,,6.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,8.2
89226,Iago Maidana,3,327,True,1,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,-0.5
89256,Gerson,4,262,True,1,,,4.0,,,2.0,,,1.0,,,,,1.0,,,,,,,5.8
89273,João Pedro,2,284,True,1,,2.0,,,,,,1.0,,1.0,,,,,,,,,,,15.4
89275,William,2,283,True,1,,1.0,2.0,,,,,,,,,,,,,,,,,,0.6
89637,Thiago Maia,4,262,True,1,,5.0,1.0,,,,,,,,,,,,,,,,,,5.7
89840,Calleri,5,276,True,1,1.0,,3.0,1.0,1.0,4.0,,,,1.0,,,,,,,,,,,10.1
89846,Cristaldo,4,284,True,1,,3.0,,,1.0,,1.0,,,,,,,1.0,,,,,,,5.7
89883,Dodi,4,277,True,1,1.0,2.0,,,,,,,,,,,,,,,,,,,1.4
89898,Róger Guedes,5,264,True,1,1.0,,,,,3.0,,,,1.0,,,,,,,,,,,8.5
